Epochen,Hidden_Size,Num_Layers,Final_Loss,Learning_Rate,MAE,RMSE,sMAPE,MAE Original,RMSE Original,sMAPE Original
112,30,2,0.0017518464,0.007289269929347593,0.04117657,0.057942398,37.93226103990637,99.400246,139.87296,37.932264756746214
88,37,3,0.0030233292,0.006515838657079318,0.04967613,0.06839509,43.2946425173175,119.91818,165.10574,43.2946425173175
119,70,3,0.00497892,0.006546117204671558,0.05297543,0.070496686,44.98483083323818,127.882675,170.179,44.98483083323818
96,69,3,0.0025609434,0.005972456636387436,0.05143505,0.07421477,43.46520458081183,124.164215,179.15445,43.46520458081183
139,57,2,0.0029709465,0.006311251732092684,0.04351779,0.060870454,42.14557776342582,105.05194,146.94127,42.14557404658598
138,46,2,0.0017719901,0.0076693848519409896,0.04336541,0.061744902,39.61115016270838,104.6841,149.05219,39.61115016270838
120,67,1,0.002644728,0.00575738535343445,0.043196563,0.058811698,43.86810630280886,104.27651,141.97144,43.86810630280886
133,33,3,0.001657046,0.007415677384482568,0.043256253,0.06470942,39.78067522788688,104.420586,156.20853,39.78067522788688
78,47,2,0.0034702877,0.007964168164144666,0.046456944,0.060971238,50.58993310282979,112.147064,147.18457,50.58993310282979
100,67,2,0.0030943833,0.007539601123508016,0.043089848,0.059908256,45.07595659563637,104.0189,144.61853,45.07595659563637
50,30,1,0.004375858,0.008791911878852074,0.05560867,0.073158495,49.180176636123164,134.23933,176.60461,49.180176636123164
96,47,3,0.004275315,0.0067511275888237745,0.050631285,0.06925561,43.58649249852515,122.22392,167.18304,43.58648878168532
125,30,1,0.0031825553,0.005128169872199632,0.04251378,0.056705672,44.10501395747697,102.628265,136.8875,44.10501395747697
119,30,3,0.004016052,0.005030206066772282,0.048749704,0.06974348,39.93663754448314,117.68178,168.36075,39.93663754448314
114,38,2,0.003228054,0.007342494660002136,0.044140074,0.05956265,41.42714607358986,106.55413,143.78424,41.42714607358986
133,39,2,0.0027190973,0.007165328412106371,0.04254598,0.058086224,40.95998762441006,102.706,140.22014,40.95998390757022
149,38,2,0.0014111593,0.00704186840120911,0.041413948,0.06167211,36.77103106921291,99.97328,148.87648,36.77103106921291
148,80,3,0.0032434296,0.008670285928907886,0.044438593,0.06063339,45.77423186301096,107.274765,146.36902,45.77423186301096
149,58,3,0.0018871797,0.008153254686619007,0.045466337,0.065026246,40.22969549863934,109.75573,156.97337,40.22969549863934
144,43,1,0.001727959,0.00818352287052846,0.042503227,0.058986906,39.64869024510923,102.60278,142.3944,39.64869024510923
131,41,1,0.0031373908,0.006955206957952876,0.04682325,0.06461874,46.500156701967725,113.03133,155.98962,46.500156701967725
69,35,2,0.004581349,0.006903613288466656,0.05434885,0.071549356,46.970396411376264,131.19812,172.72014,46.970396411376264
149,52,1,0.0013626566,0.008214817957608369,0.038728416,0.05621224,35.4127714185126,93.49041,135.69635,35.412767701672756
144,43,1,0.0025814818,0.008022858182792577,0.039161727,0.053315967,41.00283535410482,94.53641,128.70474,41.00283535410482
131,52,1,0.0023941358,0.007665806348750389,0.040668454,0.055025157,38.956287584684475,98.17365,132.83073,38.956287584684475
130,50,1,0.0022854256,0.007670594083397368,0.04208647,0.057050597,42.094586437637965,101.59673,137.72014,42.09459015447781
137,52,2,0.002496991,0.008429466377126178,0.042545505,0.058696285,38.41624933988924,102.70484,141.69283,38.41624933988924
140,35,2,0.001493053,0.007187542248583652,0.037508298,0.05428539,36.627430961930045,90.54503,131.04492,36.627430961930045
150,64,2,0.0019478842,0.007020064204739829,0.036216035,0.051292364,37.65753082300944,87.425514,123.81977,37.65753082300944
150,62,3,0.0020609978,0.008930861451752764,0.040561344,0.058159553,36.26759998001827,97.915085,140.39716,36.26759998001827
107,61,2,0.0023808081,0.007206184441790728,0.045981884,0.06535944,44.26005078095265,111.00027,157.7777,44.26004706411281
104,76,2,0.0029488523,0.008478088277375156,0.04471247,0.062033292,43.004446529839385,107.935905,149.74837,43.004446529839385
140,34,2,0.0023086895,0.0074481110140175765,0.040580735,0.0556113,40.681979154772776,97.9619,134.24568,40.681979154772776
125,34,3,0.002379589,0.0071807459821003755,0.04297648,0.060024798,40.11603081944127,103.74523,144.89987,40.11603081944127
140,35,3,0.0022909762,0.0073308061879074045,0.04854571,0.069715425,40.7728670394211,117.18933,168.29305,40.77286332258126
143,40,2,0.0020688628,0.00791372411368387,0.038964227,0.05431846,35.84369439607597,94.05964,131.12477,35.843690679236126
143,36,3,0.0030171296,0.007782818866342379,0.046296008,0.06600625,40.8502219102059,111.75856,159.33908,40.8502219102059
136,33,1,0.002877565,0.006683699343516311,0.044118028,0.058731835,43.97429641708533,106.50092,141.77864,43.97429641708533
134,43,1,0.0025521568,0.006588992611188398,0.038899783,0.054705925,37.89210430225698,93.904076,132.0601,37.89210430225698
124,44,2,0.0028345573,0.007511455425901026,0.04617247,0.06490688,43.5325574355827,111.460335,156.6852,43.5325574355827
